title,year,month,day,hour,minute,article,cleaned_text,label,location,latitude,longitude
Unidentified man shot dead in Mt D’or ,2024,6,18,13,34,"An unidentified man was killed this morning in Mt D'or. The incident was reported just after 5am today along the Eastern Main Road near Mt D'or Road. Police said that residents of the area heard a series of explosions. Upon investigating they found a man lying on the roadway in a pool of blood. He appeared to have been shot several times. The police and emergency health services were notified, and officers of the St Joseph police station and the Homicide Bureau responded. Up to midday today the deceased had yet to be positively identified.",unidentified man killed morning mt dor incident reported today along eastern main road near mt dor road police said resident area heard series explosion upon investigating found man lying roadway pool blood appeared shot several time police emergency health service notified officer st joseph police station homicide bureau responded midday today deceased yet positively identified,fatal shooting,Unknown,,
Four held after robbing Pizza Boys ,2024,6,18,13,29,"The swift work of officers of the Northern Division as well as the Emergency Response Patrol Unit led to the arrests of four men minutes after they robbed the Pizza Boys outlet in Arima. The incident was reported at about 2pm yesterday. Personnel at the outlet, located along O'Meara Road in Arima, told police that three masked men entered the building. One of the suspects was armed with a firearm. They announced a robbery and took the cash that was in the register. The suspects then fled the scene. The police were immediately notified, and officers put out an all-points bulletin. The vehicle was observed proceeding along the Churchill Roosevelt Highway and a chase ensued. The officers were able to intercept the car near the Piarco lights. The stolen money was found in the car, as well as a firearm loaded with 15 rounds of 9mm ammunition. As a result of the find, the four suspects - a 21-year-old man from Mon Repos Road in Morvant; an 18-year-old from Seventh Avenue in Malick; a 27-year-old from Maingot Road in Champs Fleurs; and a 21-year-old from Sunset Drive in Valencia - were all arrested. PC Nicholas is continuing inquiries.",swift work officer northern division well emergency response patrol unit led arrest four men minute robbed pizza boy outlet arima incident reported pm yesterday personnel outlet located along omeara road arima told police three masked men entered building one suspect armed firearm announced robbery took cash register suspect fled scene police immediately notified officer put allpoints bulletin vehicle observed proceeding along churchill roosevelt highway chase ensued officer able intercept car near piarco light stolen money found car well firearm loaded round mm ammunition result find four suspect yearold man mon repos road morvant yearold seventh avenue malick yearold maingot road champ fleurs yearold sunset drive valencia arrested pc nicholas continuing inquiry,non-shooting,N/A,,
13-yr-old hit by stray bullets while selling juice ,2024,6,18,13,11,"A 13-year-old boy who was selling juice in his yard was shot yesterday morning by stray bullets as gunmen opened fire on a man. The teenager is said to be a Standard 5 Student at the Enterprise Government Primary School. The teenager was said to be in the yard of his home along Mc Carthy Street in Enterprise when the incident happened. At the time he was selling juice and water in a mini stand that he built up to help make money to buy things for himself. Police were told that at about 10:30 am a 26-year-old man from Chris Terrace in Enterprise stopped by the stall. He asked the teenager for juice. As he was preparing to pay the teenager, a heavily tinted grey vehicle pulled up next to the stand. One man was observed exiting the car while holding a firearm. Without warning he shot at the 26-year-old, hitting him multiple times about the body. However, the 13-year-old, who was standing behind the intended target at the time, was also shot several times. The suspect then returned to the vehicle which then drove off. People in the area who heard the gunshots notified the police and emergency health services. Both shooting victims were taken to the Chaguanas District Health Facility for treatment. However, due to the seriousness of the wounds sustained, they were then both transferred to the Eric Williams Medical Sciences Complex in Mt Hope. Several spent shells were recovered at the scene of the shooting by crime scene experts. The 13-year-old, police said, sustained injuries to both legs and his left forearm. The 26-year-old was shot in the right groin, right shoulder, right chest abdomen, left buttocks and right thigh. The older man is said to still be warded in a critical condition up to 10 am today. The 13-year-old, police said, has since been stabilized and discharged. PC Francis is continuing inquiries.",yearold boy selling juice yard shot yesterday morning stray bullet gunman opened fire man teenager said standard student enterprise government primary school teenager said yard home along mc carthy street enterprise incident happened time selling juice water mini stand built help make money buy thing police told yearold man chris terrace enterprise stopped stall asked teenager juice preparing pay teenager heavily tinted grey vehicle pulled next stand one man observed exiting car holding firearm without warning shot yearold hitting multiple time body however yearold standing behind intended target time also shot several time suspect returned vehicle drove people area heard gunshot notified police emergency health service shooting victim taken chaguanas district health facility treatment however due seriousness wound sustained transferred eric williams medical science complex mt hope several spent shell recovered scene shooting crime scene expert yearold police said sustained injury leg left forearm yearold shot right groin right shoulder right chest abdomen left buttock right thigh older man said still warded critical condition today yearold police said since stabilized discharged pc francis continuing inquiry,non-fatal shooting,Chaguanas,10.5167,-61.4167
Ex VMCOTT employee faces fraud charges over alleged fake documents,2024,6,18,11,32,"A former employee of theVehicle Management Corporation of Trinidad and Tobago Limited (VMCOTT) was granted bail in the sum of $80,000 on fraud charges. Tamika Chavillieur, from Arima, was charged with three counts of uttering forged documents and obtaining money by virtue of forged documents when she appeared before a Master of the High Court yesterday. Chavillieur was granted bail and the matter adjourned to April 14, 2025. According to reports, in 2021, a woman applied to VMCOTT for the position of Finance Manager. She presented three professional certificates allegedly from tertiary institutions along with a certificate claiming she was an Association of Chartered Certified Accountants (ACCA) member. Chavillieur was hired in the role but the certificates were later found to be fake. The matter was reported to the Fraud Squad and an investigation was launched. The woman was subsequently arrested on June 14. The investigation was supervised by Fraud Squad officers Snr Supt Arlet Groome, Supt Lutchman, W/Insp Smith and involved Cpls Edwards, Murray and Williams and WPC Jointe and PCs Ramkissoon and Thomas. Chavillieur was charged by Acting Cpl Kernahan, also of the Fraud Squad. The Trinidad and Tobago Police Service (TTPS) advised employers to practice due diligence when onboarding new employees by checking their credentials and references before employment. The TTPS noted that there are various websites that provide for the verification of foreign education certificates. Additionally, it said most professional organisations provide a listing of their members which can be easily accessed online.",former employee thevehicle management corporation trinidad tobago limited vmcott granted bail sum fraud charge tamika chavillieur arima charged three count uttering forged document obtaining money virtue forged document appeared master high court yesterday chavillieur granted bail matter adjourned april according report woman applied vmcott position finance manager presented three professional certificate allegedly tertiary institution along certificate claiming association chartered certified accountant acca member chavillieur hired role certificate later found fake matter reported fraud squad investigation launched woman subsequently arrested june investigation supervised fraud squad officer snr supt arlet groome supt lutchman winsp smith involved cpls edward murray williams wpc jointe pc ramkissoon thomas chavillieur charged acting cpl kernahan also fraud squad trinidad tobago police service ttps advised employer practice due diligence onboarding new employee checking credential reference employment ttps noted various website provide verification foreign education certificate additionally said professional organisation provide listing member easily accessed online,non-shooting,N/A,,
Teen hurt after intervening to defend mother during fight,2024,6,17,16,29,"Trigger Warning: This article contains information of a sensitive nature. Details include domestic violence and the assault of minors. The information can potentially be upsetting and may trigger negative feelings or memories. A 14-year-old boy who attempted to save his mother from being beaten by a man she knows, was injured as the suspect allegedly threw a glass blender cup at his face. The incident allegedly occurred at 11:40am on Saturday in Siparia. The boy heard his mother and the suspect arguing. He attempted to intervene when he saw the man hit the woman repeatedly. The suspect allegedly picked up the blender and threw it at the teenager, before hitting him repeatedly to the chest and head. A neighbour, who is a police officer, heard the commotion. The officer went to the home and saw the teenager bleeding from wounds to his neck, face and left arm. He allegedly saw marks of violence on the woman. The suspect fled the home. The injured mother and teenager were taken to the Siparia District Health Facility. Their conditions are listed as stable. Officers of the Siparia Police Station as well as the Child Protection Unit were notified. W-Sgt Billy is continuing inquiries.",trigger warning article contains information sensitive nature detail include domestic violence assault minor information potentially upsetting may trigger negative feeling memory yearold boy attempted save mother beaten man know injured suspect allegedly threw glass blender cup face incident allegedly occurred saturday siparia boy heard mother suspect arguing attempted intervene saw man hit woman repeatedly suspect allegedly picked blender threw teenager hitting repeatedly chest head neighbour police officer heard commotion officer went home saw teenager bleeding wound neck face left arm allegedly saw mark violence woman suspect fled home injured mother teenager taken siparia district health facility condition listed stable officer siparia police station well child protection unit notified wsgt billy continuing inquiry,non-fatal shooting,Siparia,10.1333,-61.5
"Cops discover shotgun, drugs in Petersfield cemetery",2024,6,17,16,18,"One shotgun and a quantity of drugs were seized in the Petersfield, Chaguanas district on Sunday during an anti-crime exercise. Police reports indicate that officers attached to the Chaguanas Police Station conducted the exercise between 10am and 2pm within the community and discovered one shotgun loaded with two 12 gauge cartridges and 10 packets of cocaine in a cemetery. And, in the Tobago Division, officers also conducted an exercise yesterday, during which special attention was paid to the Scarborough, Carnbee, Canaan, Plymouth, Calder Hall, Patience Hill and Crown Point districts. During the exercise, officers found one revolver loaded with four rounds of ammunition and a quantity of marijuana. Investigations remain ongoing.",one shotgun quantity drug seized petersfield chaguanas district sunday anticrime exercise police report indicate officer attached chaguanas police station conducted exercise pm within community discovered one shotgun loaded two gauge cartridge packet cocaine cemetery tobago division officer also conducted exercise yesterday special attention paid scarborough carnbee canaan plymouth calder hall patience hill crown point district exercise officer found one revolver loaded four round ammunition quantity marijuana investigation remain ongoing,non-fatal shooting,Chaguanas,10.5167,-61.4167
Teen among three held for robbery with violence ,2024,6,17,16,3,"A 17-year-old was among three suspects arrested by officers following a report of robbery with violence in the Sangre Grande district on Sunday. Police reports indicate that the employees of a restaurant were accosted by two men, one armed with a gun, who entered the premises and announced a robbery. During the incident, two employees were dealt several blows resulting in serious injuries. The assailants also relieved the employees of a quantity of cash, before entering a Nissan Almera motor vehicle and escaping. A report was made to the police and the injured victims were taken to hospital for treatment. Meanwhile, the same vehicle with three male occupants, was subsequently intercepted in the Arima district by of officers of the Emergency Response Patrol. The suspects, ages 17 to 23, of Tunapuna and Marabella, werearrested in connection with the incident.",yearold among three suspect arrested officer following report robbery violence sangre grande district sunday police report indicate employee restaurant accosted two men one armed gun entered premise announced robbery incident two employee dealt several blow resulting serious injury assailant also relieved employee quantity cash entering nissan almera motor vehicle escaping report made police injured victim taken hospital treatment meanwhile vehicle three male occupant subsequently intercepted arima district officer emergency response patrol suspect age tunapuna marabella werearrested connection incident,non-fatal shooting,Tunapuna,10.6333,-61.3833
Man shot in Barataria while liming with friends,2024,6,17,13,4,"A 26-year-old man is nursing gunshot injuries following a shooting in Barataria last night. The victim told police that at 11:30pm he was liming with a group of people along Councilman Gardens, when they were confronted by two masked men. The suspects reportedly opened fire on the group without warning before fleeing the scene. The victim felt a burning sensation to his right leg and realised he had been shot. The injured man was taken to the Eric Williams Medical Sciences Complex where he was treated. His condition is said to be serious but stable. PC John is continuing inquiries.",yearold man nursing gunshot injury following shooting barataria last night victim told police pm liming group people along councilman garden confronted two masked men suspect reportedly opened fire group without warning fleeing scene victim felt burning sensation right leg realised shot injured man taken eric williams medical science complex treated condition said serious stable pc john continuing inquiry,non-fatal shooting,Unknown,,
Woman injured by stray bullet in Cunupia shooting,2024,6,16,14,56,"A 19-year-old woman was shot in her home by gunmen who were aiming at other targets. The incident was reported around 3:30 pm yesterday along Sampson Street, Cunupia. Police were told that a 21-year-old man was outside his home liming with a group of friends when a Nissan Tiida pulled up next to them. An armed man exited the car. The group ran in different directions for safety. The gunman shot at the 21-year-old repeatedly and even chased him a short distance away. The 21-year-old suffered multiple gunshot wounds. A 19-year-old woman, who was in the home at the time, felt a burning sensation to her right foot. The suspect returned to the vehicle and drove off. The police and emergency health services were notified and the injured parties were taken to the Eric Williams Medical Sciences Complex for treatment. PC Ramsaroop is continuing inquiries. More on this as it becomes available.",yearold woman shot home gunman aiming target incident reported around pm yesterday along sampson street cunupia police told yearold man outside home liming group friend nissan tiida pulled next armed man exited car group ran different direction safety gunman shot yearold repeatedly even chased short distance away yearold suffered multiple gunshot wound yearold woman home time felt burning sensation right foot suspect returned vehicle drove police emergency health service notified injured party taken eric williams medical science complex treatment pc ramsaroop continuing inquiry becomes available,non-fatal shooting,Cunupia,10.55,-61.3667
"Two beaten, hospitalised after Sangre Grande robbery",2024,6,16,13,30,"Police said two men were hospitalized after they were brutally beaten in Sangre Grande. The incident was reported around 5:05 pm yesterday at Max Grill located along the Eastern Main Road. The 48-year-old proprietor of the business as well as a 48-year-old chef were said to be in the building along with four other coworkers when they were confronted by a group of men. One of the suspects was said to be armed with a firearm. They announced a hold-up. The assailants assaulted the two victims by beating them repeatedly, then stole an estimated $10,000 from the business. The suspects then entered a gold Nissan Almera and drove off. The police and emergency health service were notified. The two injured men were conveyed to the Sangre Grande Hospital and were treated. An all points bulletin of the incident was issued, and within the hour, police observed a vehicle that matched the description of the get away car in the vicinity of Food Basket in Arima. A team of officers led by Sgt Haywood responded and arrested the suspects. A quantity of money was recovered. The suspects include a 25-year-old man from Walnut Drive, Chaguanas, a 23-year-old from Lashley Street in Tunapuna, and a 17-year-old boy from Maingot Road in Tunapuna. More on this as it becomes available.",police said two men hospitalized brutally beaten sangre grande incident reported around pm yesterday max grill located along eastern main road yearold proprietor business well yearold chef said building along four coworkers confronted group men one suspect said armed firearm announced holdup assailant assaulted two victim beating repeatedly stole estimated business suspect entered gold nissan almera drove police emergency health service notified two injured men conveyed sangre grande hospital treated point bulletin incident issued within hour police observed vehicle matched description get away car vicinity food basket arima team officer led sgt haywood responded arrested suspect quantity money recovered suspect include yearold man walnut drive chaguanas yearold lashley street tunapuna yearold boy maingot road tunapuna becomes available,non-fatal shooting,Chaguanas,10.5167,-61.4167
Man dies after shooting in San Juan robbery,2024,6,16,13,4,"​A 28-year-old man was fatally shot during a robbery in San Juan on Saturday morning. The deceased has been identified as Mickel Thomas of Laventille Road, San Juan. According to police reports, around 1:45 am, residents of Second Street heard a series of loud explosions. Upon investigating, they found the victim lying on the ground in a pool of blood near a minimart. The police were notified and the injured man was taken to the Eric Williams Medical Sciences Complex. However, he succumbed to his injuries. PC Maraj is continuing inquiries. More on this as it becomes available.",yearold man fatally shot robbery san juan saturday morning deceased identified mickel thomas laventille road san juan according police report around resident second street heard series loud explosion upon investigating found victim lying ground pool blood near minimart police notified injured man taken eric williams medical science complex however succumbed injury pc maraj continuing inquiry becomes available,fatal shooting,Laventille,10.6572,-61.4956
"Stolen vehicle recovered in Diamond Vale, Diego Martin",2024,6,16,10,30,"Police recovered a stolen vehicle that had been abandoned in Diamond Vale, Diego Martin, during a series of anti-crime exercises last week. In a statement the Trinidad and Tobago Police Service (TTPS) said during the hours of 8pm on June 13, 2024 and 12:30 am on June 14, 2024 an Anti-Crime Exercise was  conducted in the Western Division focusing on the West End, Four Roads and Carenage districts. Several people, vehicles, drug blocks and abandoned structures were searched, however, nothing illegal was found. Officers then received information which led them to Jasper Avenue in the vicinity of Aquamarine Drive, Diamond Vale, where they discovered a stolen white Nissan Tiida abandoned. The vehicle was wrecked and taken to the West End Police Station for safe keeping. Officers, also carried out diligent searches in and around several vessels in the Carenage area which resulted in PC Phillip recovering six rounds of 5.56 ammunition in an abandoned derelict vessel in a bushy area. And in the South Western Division, Task Force officers, based on intelligence proceeded to New City Extension, John Joules Trace, Fyzabad and found a shotgun and a cartridge 20 feet off the roadway under a galvanise. The firearm was secured by PC Jagoo who is continuing enquiries. No one was arrested. Enquiries are continuing.",police recovered stolen vehicle abandoned diamond vale diego martin series anticrime exercise last week statement trinidad tobago police service ttps said hour pm june june anticrime exercise conducted western division focusing west end four road carenage district several people vehicle drug block abandoned structure searched however nothing illegal found officer received information led jasper avenue vicinity aquamarine drive diamond vale discovered stolen white nissan tiida abandoned vehicle wrecked taken west end police station safe keeping officer also carried diligent search around several vessel carenage area resulted pc phillip recovering six round ammunition abandoned derelict vessel bushy area south western division task force officer based intelligence proceeded new city extension john joule trace fyzabad found shotgun cartridge foot roadway galvanise firearm secured pc jagoo continuing enquiry one arrested enquiry continuing,non-fatal shooting,Diego martin,10.7202,-61.5562
Man fatally struck by alleged drunk driver,2024,6,15,11,6,"Police are investigating a fatal accident which claimed the life of a 58-year-old Sangre Grande man. The victim was identified as Aldolphus Martinez of Northeastern Settlement, Sangre Grande. According to police reports, around 7:45pm on Friday Martinez walking along Ojoe Road, Sangre Grande, when he was struck by a vehicle. He died at the scene. The driver, a 42-year-old Sangre Grande, man was administered a breathalyzer test. He was found to be over the legal limit. Enquiries are continuing.",police investigating fatal accident claimed life yearold sangre grande man victim identified aldolphus martinez northeastern settlement sangre grande according police report around pm friday martinez walking along ojoe road sangre grande struck vehicle died scene driver yearold sangre grande man administered breathalyzer test found legal limit enquiry continuing,fatal shooting,Sangre grande,10.5833,-61.1167
"Cops seize rifle, ammunition in Santa Cruz",2024,6,14,16,43,"North Eastern Division officers seized a rifle and a quantity of ammunitionduring an anti-crime exercise in the Santa Cruz district on Thursday. Police reports say during the intelligence-led exercise officers received information and then proceeded to Orangefield Road, La Pastora Road, Upper Santa Cruz, where they carried out an extensive search of the area. While searching through a chicken coop, they allegedly found a black plastic bag containing one Galil Ace Sar 7.62 calibre rifle, one magazine and 30 rounds of ammunition. The officers took possession of the items and have begun investigations.",north eastern division officer seized rifle quantity ammunitionduring anticrime exercise santa cruz district thursday police report say intelligenceled exercise officer received information proceeded orangefield road la pastora road upper santa cruz carried extensive search area searching chicken coop allegedly found black plastic bag containing one galil ace sar calibre rifle one magazine round ammunition officer took possession item begun investigation,non-shooting,N/A,,
Four alleged gang members arrested in Morvant ,2024,6,13,13,49,"Four men from the Morvant community have been arrested in connection with gang-related offenses. Police reports indicate that the men were arrested by officers during anti-crime exercises conducted in the North Eastern and Port of Spain Divisions thisweek. It said the first exercise was conducted on Tuesday and included officers of the Task Force and Gang and Intelligence Unit. During the operation, three men, ages 20 to 26, were arrested. A similar exercise was also conducted on Wednesday, and included officers of the Barataria Criminal Investigations Department, Port of Spain GangUnit and the Inter-Agency Task Force. One 44-year-old male suspect was also arrested in connection with gang related offenses during the exercise.",four men morvant community arrested connection gangrelated offense police report indicate men arrested officer anticrime exercise conducted north eastern port spain division thisweek said first exercise conducted tuesday included officer task force gang intelligence unit operation three men age arrested similar exercise also conducted wednesday included officer barataria criminal investigation department port spain gangunit interagency task force one yearold male suspect also arrested connection gang related offense exercise,non-shooting,N/A,,
"Cops arrest 10, seize guns and drugs during anti-crime exercises",2024,6,13,13,31,"Police arrested 10 suspects following a series of anti-crime exercises held across several divisions yesterday (Wednesday). According to a report from the Trinidad and Tobago Police Service (TTPS), the officers also seized two firearms and quantities of ammunition and narcotics. The report noted that in the Northern Division, officers of the Gang Unit proceeded to the La Horquetta and Malabar districts and conducted several searches. During the exercise, one rifle loaded with 18 rounds of ammunition was recovered and one juvenile male suspect arrested. Meanwhile, two other suspects, ages 34 and 35, were held in relation to a report of robbery with violence and a 40-year-old man was held in connection with concealing gang-related activities. In the Eastern Division, officers of the Toco Police Station conducted an exercise during the early hours of the morning and seized one homemade shot gun and seven 12 gauge cartridges at the home of a 37-year-old suspect. The man was arrested in connection with the find. In the Southern Division, officers of the Barrackpore Police Station were on mobile patrol around 4:30 pm, when they stopped a motor vehicle with four male suspects. A search of the vehicle resulted in officers finding one revolver loaded with five rounds of ammunition hidden under the driver’s seat. The four men were arrested in connection with the find. Officers along with personnel from the Gang and Intelligence Unit and Canine Unit also proceeded to the home of a 23-year-old suspect, where they conducted a search which resulted in 2.4 kilogrammes of marijuana and a quantity of TT currency being discovered. The suspect who was in the house at the time of the search was arrested in connection with the finds.",police arrested suspect following series anticrime exercise held across several division yesterday wednesday according report trinidad tobago police service ttps officer also seized two firearm quantity ammunition narcotic report noted northern division officer gang unit proceeded la horquetta malabar district conducted several search exercise one rifle loaded round ammunition recovered one juvenile male suspect arrested meanwhile two suspect age held relation report robbery violence yearold man held connection concealing gangrelated activity eastern division officer toco police station conducted exercise early hour morning seized one homemade shot gun seven gauge cartridge home yearold suspect man arrested connection find southern division officer barrackpore police station mobile patrol around pm stopped motor vehicle four male suspect search vehicle resulted officer finding one revolver loaded five round ammunition hidden driver seat four men arrested connection find officer along personnel gang intelligence unit canine unit also proceeded home yearold suspect conducted search resulted kilogrammes marijuana quantity tt currency discovered suspect house time search arrested connection find,non-fatal shooting,Toco,10.8333,-60.95
Turkish national robbed in Tobago,2024,6,13,12,37,"Police said a 60-year-old Turkish national was assaulted and robbed at knife point in Tobago. The victim told police that around 2:20 am on Wednesday morning he was at a bar located along Milford Road in Scarborough when he went to the bathroom. He was then confronted by a strange man who was armed with a knife. The suspect then robbed the victim of his cash, however, the victim attempted to fight back. The victim was hit several times to his face, following which the suspect fled the scene. The police were notified and a team of officers from the Tobago Division responded. PC Balfour is continuing inquiries. More on this as it becomes available.",police said yearold turkish national assaulted robbed knife point tobago victim told police around wednesday morning bar located along milford road scarborough went bathroom confronted strange man armed knife suspect robbed victim cash however victim attempted fight back victim hit several time face following suspect fled scene police notified team officer tobago division responded pc balfour continuing inquiry becomes available,non-shooting,N/A,,
Elderly man fends off cutlass-wielding attacker,2024,6,13,12,15,"Tunapuna police are searching for a man who attacked an elderly man and his wife. The incident took place around 12:15 am on Thursday morning along St Thomas Street in Tunapuna. The victim was said at home when he heard a loud noise at the back of the house. Upon checking, he was confronted by a man who was holding a cutlass - the suspect announced a hold-up and allegedly began attacking the elderly man, said to be in his 90s. The victim managed to push away the suspect and locked himself and his wife in the bedroom of their home. They then raised an alarm and notified the police. Officers from the Tunapuna police station arrived, however, the suspect fled the scene. A quantity of cash that was in the home - not exceeding $2,000 - was said to be missing. Cpl Stevenson is continuing inquiries. More on this as it becomes available.",tunapuna police searching man attacked elderly man wife incident took place around thursday morning along st thomas street tunapuna victim said home heard loud noise back house upon checking confronted man holding cutlas suspect announced holdup allegedly began attacking elderly man said victim managed push away suspect locked wife bedroom home raised alarm notified police officer tunapuna police station arrived however suspect fled scene quantity cash home exceeding said missing cpl stevenson continuing inquiry becomes available,non-shooting,N/A,,
Teenager shot dead in Arima ,2024,6,13,11,41,"A 17-year-old teenager was shot dead in Arima last night. The deceased has been identified as Dwayne Carambocas of Martinez Trace in Arima. According to police reports, around 7:30 pm Wednesday night, Carambocas was at the home of a 19-year-old friend along John Lane Extension in Arima. At the time, the two teens were last seen liming in the living room. Several loud explosions were heard, and other persons at the home, upon checking, found Carambocas lying on the ground with a gunshot wound to his head. The 19-year-old was nursing gunshot wounds to his lower back. The police and emergency health services were notified and the two teenagers were taken to the Arima Hospital. However, Carambocas died while undergoing treatment. The injured 19-year-old was said to be in a stable condition up to 11am today. A team of officers led by Insp Lewis and Insp Mascal, among others, responded to the report. Authorities said over 10 spent 9mm shells were found at the scene. Police have no motive for this incident.",yearold teenager shot dead arima last night deceased identified dwayne carambocas martinez trace arima according police report around pm wednesday night carambocas home yearold friend along john lane extension arima time two teen last seen liming living room several loud explosion heard person home upon checking found carambocas lying ground gunshot wound head yearold nursing gunshot wound lower back police emergency health service notified two teenager taken arima hospital however carambocas died undergoing treatment injured yearold said stable condition today team officer led insp lewis insp mascal among others responded report authority said spent mm shell found scene police motive incident,fatal shooting,Arima,10.6333,-61.2833
"One killed, another injured in San Juan shooting",2024,6,13,11,22,"One man is dead while another is nursing gunshot wounds following a shooting in San Juan. Authorities said the incident was reported around 1am this morning (June 13) along Laventille Road in the vicinity of Boot Hill. Police were told that residents in the area heard what sounded like gunfire, and upon investigating, found two men bleeding from gunshot wounds. The police and emergency health services were contacted and the injured men were taken to the Eric Williams Medical Sciences Complex in Mt Hope. However, one of the men succumbed to his injuries around 1:15 am this morning. The other remain warded in a serious condition at the medical complex up to 11am today. Crime scene investigators recovered over three dozen spent 9mm shells at the scene of the shooting. The deceased has yet to be positively identified. He was said to be a man of African descent, approximately 5 feet 6 inches tall, shirtless and wearing a pair of blue 3/4 pants. Police have no motive for this incident. WPC Melville is continuing inquiries. More on this as it becomes available.",one man dead another nursing gunshot wound following shooting san juan authority said incident reported around morning june along laventille road vicinity boot hill police told resident area heard sounded like gunfire upon investigating found two men bleeding gunshot wound police emergency health service contacted injured men taken eric williams medical science complex mt hope however one men succumbed injury around morning remain warded serious condition medical complex today crime scene investigator recovered three dozen spent mm shell scene shooting deceased yet positively identified said man african descent approximately foot inch tall shirtless wearing pair blue pant police motive incident wpc melville continuing inquiry becomes available,fatal shooting,Laventille,10.6572,-61.4956
Teen stabbed in chest in after school altercation,2024,6,12,14,5,"A 14-year-old boy is hospitalised at the San Fernando General Hospital after he was stabbed in the chest earlier this week. The incident reportedly took place at 2:40pm on Monday near the Fyzabad Secondary School. The teenager was exiting the school and attempting to cross the road when he was confronted by another student. An argument ensued, and the two engaged in a fight. During the confrontation, the other student allegedly pulled out a knife and stabbed the 14-year-old to the right side of the chest. The injured teen stumbled a short distance away before falling to the ground. The police and emergency health services were notified and the injured teenager was taken to the Fyzabad Health Facility. He was treated and stabilised before being transferred to the San Fernando General Hospital where he underwent emergency surgery as the right lung, police were told, had been punctured. The mother of the victim told police that she visited the school on Tuesday to confront the administration on what transpired, and she was advised to make a police report, which she did. A team of officers from the Southern Division have since responded. Attempts were made to interview the teenager at the hospital, however, he was unable to give a full statement due to the pain that he was experiencing. Investigators believe that they have enough information, including a possible identity of the suspect. The alleged offender is expected to be questioned today and pending the results of the investigation may be charged for assault occasioning actual grievous bodily harm. PC Robinson is continuing inquiries. This is the second stabbing in as many weeks, with a 15-year-old boy being stabbed multiple times at the Barataria North Secondary School last week. President of the Trinidad and Tobago Unified Teachers Association (TTUTA) Martin Lum Kin said that the organisation was very concerned with the levels of violence and anger being displayed by some students. At the time, he called for the Ministry of Education to conduct a comprehensive and holistic review of security at T&T’s schools.",yearold boy hospitalised san fernando general hospital stabbed chest earlier week incident reportedly took place pm monday near fyzabad secondary school teenager exiting school attempting cross road confronted another student argument ensued two engaged fight confrontation student allegedly pulled knife stabbed yearold right side chest injured teen stumbled short distance away falling ground police emergency health service notified injured teenager taken fyzabad health facility treated stabilised transferred san fernando general hospital underwent emergency surgery right lung police told punctured mother victim told police visited school tuesday confront administration transpired advised make police report team officer southern division since responded attempt made interview teenager hospital however unable give full statement due pain experiencing investigator believe enough information including possible identity suspect alleged offender expected questioned today pending result investigation may charged assault occasioning actual grievous bodily harm pc robinson continuing inquiry second stabbing many week yearold boy stabbed multiple time barataria north secondary school last week president trinidad tobago unified teacher association ttuta martin lum kin said organisation concerned level violence anger displayed student time called ministry education conduct comprehensive holistic review security tt school,non-fatal shooting,San fernando,10.2833,-61.4667
"Woman assaulted, robbed in carpark, cops searching for suspects",2024,6,12,10,54,"Central Division police are searching for two men who assaulted and robbed a 52-year-old woman of $30,000 in cash near Courts Freeport. According to reports, around 2pm on Monday the woman was seated in her Honda City in the carpark located along Access Road in Freeport when she was confronted by two men. The men forced their way into the woman's car and announced a hold-up. They then forcefully relieved her of a bag that contained two cellular phones as well as the cash. The two men then fled the scene in a waiting vehicle. The police were notified and officers from the Central Division responded. PC Hosein is continuing inquiries.",central division police searching two men assaulted robbed yearold woman cash near court freeport according report around pm monday woman seated honda city carpark located along access road freeport confronted two men men forced way woman car announced holdup forcefully relieved bag contained two cellular phone well cash two men fled scene waiting vehicle police notified officer central division responded pc hosein continuing inquiry,non-shooting,N/A,,
