title,year,month,day,hour,minute,article
Top Cop reassures public on crime fight after bloody weekend,2024,7,15,9,5,"Police Commissioner Erla Harewood-Christopher said the police service continues to fight crime, following reports of several murders over the weekend. Speaking at a media briefing on Sunday, Harewood-Christopher said police have not lost a handle on crime and are in it for the long haul. The TTPS said several inroads into the crime situation have been made with the seizure of fireams and drug busts, including a major cocaine seizure, in recent days. The update comes after reports of several killings, including a Sangre Grande taxi driver who had been reported missing butwas later found dead, anothertriple murder in Cunupia,double murders in ArimaandLaventilleand another rideshare driver who wasfound deadafter being reported missing. In a separate incident, a 25-year-old businesswomansuccumbed to her injuriesafter what police suspect may have been a botched robbery near South Park Mall on Saturday. Police recently seized $4.5 millionworth of cocaine hidden in hair productsand detained a suspect in connection with the find."
Three men gunned down in Cunupia,2024,7,14,21,59,"A shooting outside the Pizza Boys outlet along the Southern Main Road, Cunupia on Sunday claimed the lives of three men. Reports state that around midday three men were in a car leaving the establishment with items they’d purchased at the restaurant when another vehicle hit them from behind. Two men reportedly got out of the vehicle that crashed into them and opened fire. The three men died at the scene."
Two charged with stabbing death of Sangre Grande man,2024,7,14,12,15,"Two men are expected to appear before a Master of the High Court tomorrow, charged with the July 5 murder of Keron Modeste. Ishmael Garcia, 25, a coconut vendor and Anthony Ramnath, aka ‘Sunny Boss’, 24, a construction worker, both of Sangre Grande, were jointly charged with the offence. They were arrested by officers of the Homicide Bureau of Investigations (HBI), Region Two, and the Eastern Divisional Gang Unit on July 9. Charges were laid three days later by Cpl Oliver of HBI Region Two, following advice received from Acting Director of Public Prosecutions, Joan Honore-Paul. Modeste, also known as ‘Keron Jack’ and ‘Darko’, 39, a mason, of Sangre Grande was stabbed and killed on July 5, after he confronted a man who allegedly tried to dance with his common law wife while they were liming at a bar in the area. Investigations were supervised by W/Insp Sylvester, Insp Mungroo and Acting Insp Simon, all of HBI Region Two."
Man gunned down in Sangre Grande ,2024,7,13,14,12,"A 36-year-old man was shot and killed in Sangre Grande on Friday. He was identified as Shawn Nigel George of Foster Road, Sangre Grande. According to reports, around 10pm a woman told police she was at home when she heard several explosions emanating from the front of her property. Shortly thereafter, she made checks and found the deceased in a room to the rear of the property unresponsive and suffering from gunshot wounds. She then contacted the police who arrived shortly thereafter. Enquiries are continuing."
Condolences pour in after businesswoman Carissa Ramrattan's murder,2024,7,13,13,57,"Update July 15, 2024: There has been an outpouring of condolences as friends and family mourn the death of 25-year-old Rio Claro businesswoman Carissa Ramrattan, who died after a shooting near South Park Mall on Saturday morning. Many who knew her shared comments grieving her loss on social media. ""Rest in peace my beautiful Carissa Ramrattan!!! One year ago we danced at your wedding and today they took you away from us!! Be strong my family,"" said one person. Another commented on her death, saying: ""Any one of us could be next."" A friend of the family said: ""We are deeply saddened by [Ramrattan's] tragic passing. Her warmth, kindness, and vibrant spirit touched the lives of everyone who knew her. Our hearts are heavy with grief, and our thoughts and prayers are with her family during this incredibly difficult time. May the cherished memories of her bring some comfort, and may justice be swiftly served. Thank you, Carissa, for the beautiful moments and the indelible mark you left on our lives. Rest in eternal peace."" Another commented: ""Rest in paradise...from knowing you all those years in school...you were such a loving person."" Leader of the Patriotic Front Mickela Pandayoffered condolences to her familyand said citizens have had enough. Mayaro MP Rushton Paray also issued astatement offering condolences, calling for urgent action against crime. Authorities suspect the shooting resulted from a botched robbery. Police said Ramrattan had dropped off her vehicle to be serviced and was in the company of two other relatives around 11am, when she said she was heading to South Park Mall to get some food. However, on her way back, she was ambushed and the attackers grabbed her handbag. During the struggle, she was shot several times. Ramrattan later succumbed to her injuries while undergoing treatment at the San Fernando General Hospital. Ramrattan was the wife of Rio Claro businessman Nyron Ramrattan and her family are reportedly the owners of a hardware store in Rio Claro. Authorities said the post-mortem for her death is expected to be done this week at the Forensic Science Center in St James in keeping with the investigatory process. More on this as it becomes available. Original story July 13, 2024: A businesswoman was shot outside Toyota's south office in Tarouba on Saturday morning. She was identified as Carissa Ramrattan of Rio Claro. According to reports, the woman went to South Park Mall to get something to eat. While returning to the Toyota office, gunmen exited a vehicle and fired at her. The suspects grabbed her handbag before making good their escape. She was taken to the San Fernando General Hospital. Ramrattan later succumbed to her injuries. Enquiries are continuing."
"Two shot dead, one wounded in Laventille ",2024,7,13,13,33,"Two men were shot and killed in Laventille on Friday. A third victim was also injured. According to reports, around 8:45pm residents heard explosions in the Mango Rose area. Officers responded and observed three men suffering from what appeared to be gunshot wounds. They were taken to hospital. Two of the men succumbed to their injuries while being treated. Enquiries are continuing by PC Roberts of Homicide Region 1."
"Three-year-old boy shot, two others killed in Arima ",2024,7,13,11,57,"A three-year-old boy was shot while two other people were killed in Arima on Saturday. The victims were identified as 34-year-old Dwayne Richardson and 31-year-old Latoya Voisin. According to reports, around 3:35am police responded to a shooting at Maturita, Arima. On arrival, they discovered the lifeless bodies of Richardson and Voisin with apparent gunshot wounds. A relative told police a three-year-old boy was also discovered in a room suffering from gunshot wounds. The child was taken to hospital and is receiving medical attention. Enquiries are continuing."
Double murder recorded in Gonzales ,2024,7,13,9,26,"Police are investigating a double murder which occurred in Gonzales on Friday. The victims were identified as 29-year-old Hasani Bonas and 19-year-old Jahiem Shallo. According to reports, around 4pm the two men were standing on the roadway, when three vehicles pulled up. Several explosions were heard and the victims were found suffering from gunshot wounds. They succumbed to their injuries. Enquiries are continuing."
Bandits arrested by police minutes after Debe robbery,2024,7,12,15,56,"Three suspects were arrested within minutes of a report of a robbery that occurred in the Debe district on Wednesday (July 10). Police reports indicate that two victims were in the area when they wereaccosted by two male suspects who announced a robbery. The victims were relieved of a quantity of cash and jewelry before the suspects made their escape in an awaiting Nissan Almera motor vehicle. A report was made to the Debe Highway Patrol and a coordinated effort was made by the Central Division Gang Unit in collaboration with the Freeport Criminal Investigations Department (CID), the Highway Patrol South and Central and the Central Division Task Force, to locate the suspects. The vehicle was subsequently intercepted along the north bound lane of the Sir Solomon Hochoy Highway in the vicinity of Brentwood Gardens. Three suspects, ages 19 to 41, of San Juan and Morvant, were arrested in connection with the incident. Officers also discovered one partially destroyed imitation firearm. The suspects were wanted in connection with a similar robbery incident in the Central Division."
"Man shot near Cocorite hospital, 25 spent shells recovered",2024,7,12,13,43,"A 48-year-old man is hospitalised in a serious condition after being shot multiple times near the Community Hospital of Seventh Day Adventists in Cocorite last night. The victim told police that at 9:45pm yesterday, he was liming near a basketball court along Waterhole Road when he observed two men walking along the roadway holding a firearm. The man turned and ran off in the opposite direction. He heard several explosions. As he approached the hospital he felt burning sensations and realised he had been shot in both his legs and his groin. The victim collapsed on the ground. The police and emergency health services were notified and a team of officers from the Western Division led by Supt Williams and Insp Cumberbatch responded. The injured man was taken to the Port of Spain General Hospital where he was treated. His condition is listed as serious. Police recovered over 25 spent shells at the scene of the shooting. PC Phipps is continuing inquiries."
Thieves make off with $4K from Mario's Montrose restaurant,2024,7,12,11,7,"Police are seeking the public's assistance in identifying four men who robbed Mario’s Pizzeria in Montrose late yesterday. According to police reports, around 8:40pm employees were at the restaurant when four men entered.One of the suspects was holding a firearm. The suspects announced a hold-up and took $4,000 in cash which represented the business’ daily float. The suspects then fled the scene on foot. The police were notified and officers of the Central Division responded. The descriptions of the suspects are as follows: 1. A man of African descent, slim built, five feet five inches, pink bandana covering hair, blue, white and red jacket, blue three quarters pants, slippers. Black surgical mask. Armed with a firearm. 2. A man of African descent, fair skin, slim built, about five feet, six inches tall, red jersey, blue three quarters pants, black and white sneakers, black Chicago Bulls hat. 3. A man of African descent, brown complexion, slim built, about five feet six inches tall, white hat, black t-shirt and blue three quarter pants, with black and white slippers. 4. A man of African descent, brown skin, hair in two plaits, clad in navy blue long sleeve shirt denim, black three quarter pants, with black sneakers. Anyone with information which can lead to the arrests of these men is asked to contact the Chaguanas Police Station. Information can also be given at any police station or anonymously via 555 or 800-TIPS. WPC Nestor is continuing inquiries."
Family of three assaulted in home invasion,2024,7,12,10,35,"A 16-year-old boy was among three people who were assaulted and tied up during a home invasion along Monteil Trace, Fyzabad early on Wednesday. Police were told that a 56-year-old man was standing in his front yard around 5:45am that day when he was confronted by four men. The suspects were all wearing ski masks, dressed in dark clothing and brandishing firearms. They assaulted the man, announced a hold-up, and forced him into the home. They then proceeded to tie him up. The suspects then confronted a 54-year-old woman and the teenager, who were also tied up. They ransacked the home and relieved the victims of cellular phones, an estimated $30,000 in jewellery, and $1,000 in cash that was in the home. The suspects also took the keys to a Kia Rio which was parked outside. They drive off in the car. The victims were able to untie themselves and they notified the police. They were advised to seek medical treatment for injuries sustained during the ordeal. PC Ramesar is continuing inquiries."
"Five arrested for illegal guns, drugs and stolen vehicle",2024,7,11,17,28,"Five persons were arrested and a firearm and several rounds of ammunition seized during anti-crime exercises in South Western Division (SWD) on Wednesday. According to reports, while conducting a warrant exercise for firearms andammunition officers went to a home located at Old Trainline Road, Siparia. During the search they found one revolver and three live rounds ammunition, as well as 533 grams of marijuana. The occupants of the house were arrested and are expected to be charged for being in possession of the illegal items. A Nissan AD Wagon was also recovered by officers of the SWD. Police say checks revealed that the vehicle was reported stolen in the Arouca District in December 2023. As a result, three male occupants of the said vehicle were arrested and conveyed to the Point Fortin Police Station pending furtherenquires. Meanwhile, officers received information in the North Eastern Division and proceeded to a bushy area in the Stephenville, Morvant area, where a search was conducted. The search led to the discovery of one firearm, with a magazine and 15 rounds of ammunition, which was found in a black plastic bag."
Police class Morvant murder as gang-related,2024,7,11,12,56,"Police are investigating the murder of 28-year-old Antonio Taylor. Taylor, of Las Alturas in Morvant, was fatally shot around 9pm on Wednesday along Chinapoo Road in Morvant. Police were told that residents of the area heard a series of loud explosions and upon investigating they observed Taylor lying on the ground. Part of his body was said to be in a drain. The police were notified and officers of the North Eastern Division led by Insp Highly responded. When officers arrived, Taylor was unresponsive and was pronounced dead on the scene by a district medical officer. Crime scene investigators recovered 14 spent 5.56mm shells on the scene. While Taylor was known to some residents of the area they did not know why he was there last night. However, given recent incidents in the community, this killing has been classed as gang-related. PC Nunez is continuing enquiries. More on this as it becomes available."
Man shot dead in Carenage,2024,7,11,11,30,"A 29-year-old man was fatally shot in Carenage last night. The deceased has been identified as Damien Dedier of Upper Seaview Hill in Carenage. According to police reports, at about 11:30 pm, residents of Seaview Hill heard a series of loud explosions. Upon investigating, they observed Dedier slumped against the steering wheel of his red Honda Civic that was on the roadway near his home. He appeared to have been shot. The police and emergency health services were notified, and a team of officers led by Sgt Douglas responded. However, Dedier died on the scene. Police have no motive for this killing. More on this as it becomes available."
Man gunned down in Belmont,2024,7,11,11,1,"Update July 12: The man shot dead in Belmont yesterday morning has been identified as 26-year-old Shaquille Perreira. Perreira was from Upper Belmont Valley Road, Belmont. He was fatally shot around 7am yesterday along the St Francois Valley Road, near Belmont Valley Road. Police have no motive for his killing. A team of officers led by ASP Matthews and Sgt Masleirvisited the scene. Homicide Bureau is continuing enquiries. Original article: Police are on the scene of a homicide in Belmont. Up to 10am today (July 11), the deceased had yet to be positively identified. According to initial reports, around 7am this morning, residents of St Francois Valley Road heard a series of loud explosions. Upon investigating they observed a man lying on the roadway in a pool of blood. The police and emergency health services were notified, however, the victim succumbed to his wounds. More on this as it becomes available."
Cops crack down on illegal gambling in POS,2024,7,11,8,12,"Police cracked down on several illegal gambling arrangements in Port of Spain involving unlicensed Play Whe machines at restaurants. In anupdate, the Trinidad and Tobago Police Service said four suspects were arrested in connection with several offences during ongoing anti-crime exercises conducted in the Port of Spain Division on Tuesday. Officers of the Port of Spain Investigations and Operations Unit conducted the exercise around  2pm on July 9, 2024. During the exercise, officers visited a restaurant in the district, where they observed members of the public engaging in Play Whe gaming machines in exchange for money. Two suspects were arrested for Operating a Gaming House without a License. The officers then proceeded to the Sea Lots district, where they seized three Play Whe gaming machines from a mini-mart. One Laventille man was also arrested in the Beetham area in relation to several robberies and homicide offences, while a fourth suspect was arrested in the Woodbrook district in connection with a report of Assault with Intent to Rob. Investigations are ongoing into all of the above matters. Meanwhile, officers of the Northern Division, Area North, conducted a warrant exercise between 10pm, on July 9, 2024 and 4am, on July 10, 2024, with the assistance of personnel from the Arima and Malabar Warrant Section, Task Force and Arima Court Staff. During the exercise, a total of 19 warrants were executed and 17 persons were arrested for Affiliation Warrants."
"Electrician charged with indecent assault, granted $75K bail",2024,7,10,16,3,"A 52-year-old electrician was granted bail in the sum of $75,000 with surety when he appeared before a High Court Master charged with indecent assault on Monday. The accused was offered a $7500 cash alternative. According to a police report, the victim was at her home when the accused allegedly hugged her and started to squeeze her buttocks. A report was made to the Oropouche Police Station. Detectives of the Special Victims Department launched an investigation, which led to the arrest of a man on July 7. He was formally charged on the same day. As part of his bail condition, the accused was also ordered not to contact the victim."
Three injured in Maloney shooting,2024,7,10,11,18,"Three men are nursing gunshot wounds following a shooting incident in Maloney Gardens yesterday afternoon. The victims are said to include two men, aged 22, and one 28-year-old man, all of Maloney Gardens. Police were told that around 4:15 pm Tuesday afternoon, all three men were standing on the northeastern side entrance of Building 9, Maloney Gardens, D’Abadie, when a silver Nissan Tiida, registration unknown, stopped on the roadway. Three masked men, all holding firearms, exited the car and shot at the victims. The victims became fearful for their lives and ran into Building 9, however, the suspects continued shooting at them, and they all felt burning sensations about their bodies. The suspects then returned to the Tiida which then drove off. Residents notified the police and emergency health services and all three men, who were nursing gunshot wounds to their hands and feet, were taken to the Arima Hospital. They were all treated and their conditions are said to be stable. Crime scene investigators recovered 21 spent 7.62mm and 9mm rounds on the scene of the shooting. PC Haban is continuing enquiries. More on this as it becomes available."
Car stolen in Tobago quadruple killing recovered,2024,7,10,10,54,"The vehicle that was stolen by three suspects wanted in connection with the killing of four men in Tobago on Monday morning has been found. The car, a silver Toyota Aqua, was found abandoned at Toby Drive, Lowlands. It was wrecked to the Shirvan Road Police Station for processing by crime scene investigators who are searching for DNA evidence, fingerprints, and other items of evidential value. It was said to have belonged to one of the victims and was stolen by the suspects after gunmen opened fire in Black Rock, killing Jumoke Duncan, as well as Anslem Douglas 56, of Black Rock; Samuel McKain, 56, of Mt Pleasant; and Gregory Hamlet, 53, of Golden Lane. This incident pushed Tobago's murder toll up to 16 - which is the same number as the highest number of murders ever recorded on the island. That record was set in 2009. The number of murders recorded in 2023 was 15 - which also means that these killings have pushed the island's murder toll above last year's figure. Post mortems are expected to be performed this week in keeping with the investigatory process. Police were told that around 12:30am on Monday a group of men were playing cards along the main road in Black Rock when they were confronted by two armed men. The suspects opened fire on the group without warning. They then fled the scene in the Aqua. In the aftermath, Douglas, Hamlet, and McKain died. Duncan died throughout the day while receiving treatment at the Scarborough General Hospital for treatment. Several spent shells were found at the scene of the shooting on Monday morning. Yesterday, following a National Security Council meeting at the Office of the Prime Minister, Central Administrative Service in Tobago, Scarborough, Commissioner of Police Erla Harewood Christopher announced that there would be an increased presence by the TT Police Service on the sister island soon. These would include more police officers - who are expected to be rotated during their service - as well as installation of more CCTV cameras, all bolstered by additional resources from the Forensics Unit and the Cyber Crime Unit. ""We will increase our intelligence-focus on the island of Tobago. We will provide training to develop the capacity of the officers in terms of intelligence gathering and investigations,"" Harewood Christopher said. Prime Minister Dr Keith Rowley also addressed the media following the meeting and called on Tobagonians to work with the police in the fight against rising violent crimes. “There are a few tens of thousands of people in Tobago, many of you know exactly who is doing what and you have not been sharing that information sufficiently with the police.” More on this as it becomes available."
Trinibad artistes charged with drug trafficking,2024,7,10,10,16,"Days after he appeared before the courts on allegations of being a suspected gang member, Trinibad artiste Mescach Emmanuel AKA 'Plumpy Boss' was back before the courts. Emmanuel appeared on Monday charged with possession of cocaine for trafficking. He was jointly charged along with Keston Adams and Joseph ""Medz Boss"" Olliviere. All three men pleaded not guilty. The matter is expected to resume today as the Prosecution asked for time to secure background tracings on the accused men to make a determination on their arguments for bail. The trio were held on Saturday when police searched a car along the Solomon Hochoy Highway, near Gasparillo. In the car the officers allegedly found 18 grammes of cocaine in a plastic bag - leading to the arrests of all of the vehicle's occupants. Emmanuel was previously charged on July 1 with being a gang member, professing to be a gang member, and professing to be a gang member in order to promote a gang. The charges were laid contrary to Section 5(1)(d)(iii) of the Anti-Gang Act 4 of 2021 as amended. In that matter, he was arrested on June 29 after officers from the Special Investigations Unit (SIU) - Gang Investigations Team monitored several audio-visual music videos published on social media. The music videos allegedly featured the accused professing to be a member of a gang. He was granted $350,000 bail, which he was able to secure. This case is expected to be recalled on July 26. More on this as it becomes available."
Man killed while cycling in Santa Cruz,2024,7,10,9,26,"One man is dead while two others are nursing gunshot wounds following a shooting in Santa Cruz yesterday afternoon. The deceased has been identified as Benjamin Emmanuel of Sampson Trace off Sam Boucaud Road. According to police reports, around 4:20 pm on Tuesday afternoon, Emmanuel was seen riding a bicycle in a southerly direction along Tappin Street, when a black vehicle, registration number, make, and model unknown, stopped alongside him. The occupants of the vehicle lowered their windows and several loud explosions were heard. Emmanuel was hit several times about the body and fell to the roadway. Two other persons who police were told were simply standing in a close proximity were also hit in this incident. They are a 35-year-old man from Tappin Street, and a 71-year-old man from Jigga Hill in Santa Cruz. The 34-year-old was shot to the right thigh and left buttocks. The 71-year-old man was shot to his lower left leg. The vehicle then drove away. Persons in the area who witnessed the incident raised an alarm and notified the police and emergency health services. However, by the time of their arrival, Emmanuel had succumbed to his wounds. The two injured men were taken to the Port of Spain General Hospital where they were treated. Their conditions are said to be stable, as the injuries, while serious, are not life threatening. A team of officers under the supervision of Snr Sup Edwards responded to the report. The area was cordoned off and crime scene investigators recovered 15 spent shells comprising of 5.56 mm as well as 9 mm ammunition - leading investigators to believe that there were at least two shooters in the vehicle. While police do not have an official motive for the shooting, it was said that Emmanuel was known to them for drug related offences and as such it is suspected that his killing could be drug related. However, the incident has further left officers of the police service concerned as it was another example of innocent persons being injured due to the types of firearms - believed to be automatic weapons as well as semi automatic weapons - which are being utilized by criminal elements currently in this country. PC Ramdhanee is said to be continuing enquiries. More on this as it becomes available."
Cops find $4.5M worth of cocaine in hair products; suspect held,2024,7,10,7,24,"Police said they've made a ""major breakthrough"" with the seizure of around $4.5 million worth of cocaine hidden in hair products and the detention of a suspect in connection with the find. In an update the Trinidad and Tobago Police Service (TTPS) said officers executed an intelligence-led operation on Tuesday, resulting in the seizure of over $4.5 million worth of cocaine and the arrest of a key suspect. ""The operation stems from credible intelligence developed by the TTPS in 2023, which uncovered the operations of a sophisticated drug trafficking network based in South Trinidad. This network allegedly imported illegal narcotics from South America, concealed them within legitimate cargo, and exported them to various international destinations using local courier services. Following multiple arrests and significant seizures over the past year, the TTPS intelligence unit recently received information about an impending narcotics shipment. ""Acting on this intelligence, officers identified a vehicle linked to the drug trafficking network. On Tuesday, July 9, 2024, during a surveillance operation, the vehicle was spotted travelling along roads in the North Eastern Division. With operational support from the Northern Division Police, the officers intercepted the vehicle as it travelled eastward along the Churchill Roosevelt Highway near the Grand Bazaar shopping centre. ""Upon searching the vehicle, officers discovered several containers of hair cream, which, upon field testing, revealed the presence of cocaine."" The TTPS said officers seized a total of 3.25 kilograms of cocaine, with an estimated street value of $4,530,240. The TTPS said the driver, a man from Point Fortin, was arrested and taken to the San Raphael Police Station for further inquiries. Commissioner of Police, Erla Harewood-Christopher, said intelligence gathering is critical in disrupting criminal activities. “Intelligence gathering is the cornerstone of effective policing. It allows us to anticipate and disrupt criminal activities before they can inflict harm on our communities. The success of this operation underscores how critical intelligence is in our fight against crime.”"
"Guapo man leaves home for lime, shot and killed hours later",2024,7,9,14,25,"A 25-year-old labourer from Cochrane Village in Guapo, was found dead on Saturday morning in Point Fortin. Police said Deshawn Cornwall was shot several times. The circumstances surrounding his killing are currently being investigated. Police were told that around 2am on Saturday, the deceased left his home and told relatives that he was going to meet up with some people and lime in Point Fortin. Then, around 3:45am, residents of Chin Kit Park heard a series of explosions and found Cornwall lying faceup on the ground along Mainfield Road. Next to him was a silver Nissan Wingroad. Cornwall was taken to the Point Fortin Hospital, however, he died while undergoing treatment. A team of officers led by Sgt Persad and Sgt Elvin visited the scene. Police found and seized 17 spent shells at the scene of the shooting. Vehicle tracing found that the vehicle belongs to a 52-year-old man from Point Fortin. The vehicle was rented by a 35-year-old from East Dry River on Friday. Police are now searching for this individual to shed some light on Cornwall's death. WPC George is continuing inquiries. Anyone with information that could identify the suspects in Cornwall's killing is asked to contact the police."
Trinidad cops to be stationed in Tobago to tackle rising murder toll,2024,7,9,13,17,"Trinidad-based officers will be stationed in Tobago on a short-term basis to help tackle the island’s rising murder rate, following a recentquadruplemurder that occurred earlier this week. Speaking at a media briefing on Tuesday in Tobago following a meeting of the National Security Council (NSC), Prime Minister Dr Keith Rowley said the support is needed as ""familiarity breeds contempt"". “Tobago’s policing…is such that we have to probably do things a little bit differently. I was advised that approximately 90 per cent of the officers who are policing Tobago are Tobagonians in Tobago, and that might be a good things…but there are certain outflows from that which cause me and others to believe that the policing effort is not as sharp as it should be, largely because of the general maxim that familiarity breeds contempt, and we have decided in a meeting this morning that the Tobago policing effort can benefit form a greater effort of intermingling of the services. “…our Tobago officers, particularly the young ones, should benefit from exposure and training with officers who are not domiciled in Tobago that will improve their development, their skill levels, that will allow them to function more effectively.” Dr Rowley said the new arrangement will include a short-term rotation of Trinidad officers and that assistance will be given to secure short-term accomodation to help facilitate this. Prime Minister Dr Keith Rowley held a meeting of the National Security Council in Tobago on July 9, 2024, hours after quadruple and triple murders were recorded in Black Rock, Tobago. Also attending the meeting were National Security Minister Fitzgerald Hinds, THA Chief Secretary Farley Augustine, Police Commissioner Erla Christopher-Harewood, THA Minority Councillor Petal Daniel-Benoit, and other senior TTPS officers. Police Commissioner Erla Harewood-Christopher said further details would be released shortly after discussions with other senior officers. Dr Rowley urged Tobagonians to cooperate with the new arrangement. “It’s not that Trinidad has perfected its own policing…we believe that Tobago, with its peculiar smaller population…should really not be overrun by criminal conduct."" He also said some Tobagonians are aware of criminal activity and must share what they know with the police. “There are a few tens of thousands of people in Tobago, many of you know exactly who is doing what and you have not been sharing that information sufficiently with the police.” When asked regarding the island's gang activity and whether the suspects belonged to Trinidad or Tobago-based gangs, the TTPS said that there are criminal elements from both islands. Dr Rowley added that Tobago's E999 system will be updated so that callers can be directed to the TTPS' Tobago offices to enhance response times, as well as creating stronger connections with Tobago communities to enhance the crime response. Additionally, he said plans are being made to strengthen Tobago's police headquarters and proposals were made for a pre-fab structure in Bacolet to establish an administrative policing centre there. Chief Secretary of the Tobago House of the Assembly, Farley Augustine, who also attended the meeting, said as an island seeking to grow its tourism revenue, Tobago must address this issue. ""I want you to see today's meeting as being proactive...we're not waiting until the situation worsens to then respond. Certainly with...one of its main productive sectors outside of the government sector in tourism, we certainly don't want this getting beyond where it is now."" On Tuesday, armed gunmen opened fire on four men who were playing cards in Black Rock, resulting in the island'sfirst quadruple murderin history, pushing the island's murder toll to 16, matching its highest record from 2009. Just hours earlier on Monday, atriple murdertook place at Black Rock, Tobago."
Two shot near bar in Siparia,2024,7,9,11,59,"Two men are warded at the San Fernando General Hospital following a shooting in Siparia early on Monday. The victims are a 25-year-old man and a 22-year-old man, both from Siparia. They were walking along Coora Road when at 5am, on nearing Eddie's Bar, a blue Nissan B14 pulled up next to them. One man exited the car and pulled out a firearm. He then shot at the two men without warning. The victims both turned and ran, but were both shot. The suspect then returned to the vehicle and drove off. The 25-year-old was shot to the right leg, while the 22-year-old was shot to the chest. They notified the police and emergency health services and both men were taken for medical treatment.Sgt Mahabir is continuing inquiries."
Gangs moving on Tobago? Police warn of 'sleeper cells',2024,7,9,10,48,"Just hours after a Joint Select Committee on National Security on Monday, on Tuesday morning, Tobago was rocked by itsfirst quadruple killing – the murders took place just hours after a triple murder took place in Black Rock, Tobago on Monday. Speaking at aJSC on National Securityto address the Trinidad and Tobago Police Service (TTPS) Violent Crime Reduction Plan, Legal Officer at the TTPS Special Investigations Unit, Zaheer Ali said it appears that gangs have been trying to seize territory in Tobago, contributing to recent bloodshed. “There are a few major criminal gangs that have sleeper cells in various parts of Trinidad and Tobago. It’s significant in terms of what we’re seeing in Tobago, where gangs that have established themselves…are continuing to seek other opportunities, whether it be in the context of opportunities for lucrative drug blocks or easy avenues for trafficking, dangerous drugs [etc]…that migration to Tobago is looking to take charge of territories that might be lucrative to the gangs.” Ali said the TTPS is committed to utilising anti-gang legislation to the full extent in order to crack down on these gang-related activities and to ensure convictions. “I want to assure…that we are exploring all legislation to ensure that we have control over gang and gang-related activities…” Police Commissioner Harewood-Christopher said a meeting was planned with Tobago officials to address the island’s spiralling murder rate. “I want to assure the Tobago public that our focus is on Tobago as much as it is on Trinidad. Over the last two months I would have deployed additional manpower to Tobago because we would have seen the rise of the crime. So we have officers from the GEB and the IATF now functioning in Tobago and that is a permanent initiative. “As of this morning, another team of officers from the Inter-Agency Task Force has left to provide training for frontline officers in Tobago…to ensure that they are capable and competent in doing basic road checks, teaching them to build their confidence to confront “perceived” offenders. “So we have been focusing on Tobago and we will continue to focus…as a matter of fact we will be meeting with the administration in Tobago.” Harewood-Christopher said a 15 per cent reduction in murders had been set as the target for 2024, however the Trinidad and Tobago Police Service achieved one per cent of its target, with 299 murders as of July 8 compared to 301 for the same period in 2023. In terms of targets, from January to July 8, 2024, Christopher said the TTPS achieved its target of a 15 per cent reduction in violent crime, with 2,726 reports in 2023 compared to 2,324 reports in 2024. In terms of serious crimes, the TTPS said it surpassed its 15 per cent target, with a 17 per cent reduction of 5,803 reports in 2024 compared to 7,026 reports in 2023. However, the TTPS did not meet its target of a 20 per cent detection rate, achieving a 10 per cent detection rate for 2024 to date. Regarding the implementation of the violent Crime Reduction Plan, she said the schedule had been hampered by human resource changes but would be completed by August. “We were a bit challenged with the implementation schedule and what happened over the last year we had changes with human resources…that would have set us back a bit…we are in the process of redesigning the schedule.” Harewood-Christopher said the new schedule would be completed by August 2024. Prime Minister Dr Keith Rowley convened a meeting of the National Security Council in Tobago on Tuesday which was also attended by Chief Secretary of the Tobago House of the Assembly Farley Augustine, to address rising crime on the island."
Man shot while visiting female friend,2024,7,9,9,34,"A man was shot in the leg when he went to visit a female friend along Eligon Avenue, Diego Martin on Sunday. The 41-year-old wardsman at the St James Medical Complex, told police that around 2:30am that day, heentered the compound and walked towards the back of the building. He was confronted by a man he did not know. The suspect shot at the victim hitting him in the lower leg,then fled the scene. The victim raised an alarm and was taken to the Port of Spain General Hospital. PC Bishop is continuing inquiries."
